Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
521,Max Strus,SF,25,MIA,68,16,1587,5.6,12.8,0.441,4.1,10,0.41,1.5,2.8,0.557,1,1.2,0.792,0.5,4,4.6,2.1,0.6,0.4,1.3,2.6,16.4,strusma01
522,Jalen Suggs,PG,20,ORL,48,45,1307,5.5,15.1,0.361,1.2,5.4,0.214,4.3,9.7,0.443,3.5,4.5,0.773,0.7,4,4.7,5.8,1.6,0.5,3.9,3.9,15.5,suggsja01
523,Craig Sword,SG,28,WAS,3,0,19,5.7,7.6,0.75,0,1.9,0,5.7,5.7,1,0,0,,0,0,0,1.9,7.6,0,1.9,13.3,11.4,swordcr01
524,Keifer Sykes,PG,28,IND,32,11,566,4.4,12.1,0.363,1.7,5.7,0.3,2.7,6.4,0.42,1,1.1,0.882,0.5,2.4,2.9,3.9,0.8,0.3,2.1,3.2,11.4,sykeske01
525,Jae'Sean Tate,PF,26,HOU,78,77,2056,6.4,12.8,0.498,1.1,3.5,0.312,5.3,9.2,0.569,2.3,3.2,0.707,2.4,5,7.4,3.9,1.3,0.7,2.4,5,16.1,tateja01
526,Jayson Tatum,SF,23,BOS,76,76,2731,9.3,20.6,0.453,3,8.6,0.353,6.3,12,0.524,5.3,6.2,0.853,1.1,6.9,8,4.4,1,0.6,2.9,2.3,27,tatumja01
527,Terry Taylor,PF,22,IND,33,7,714,6.8,11.1,0.614,0.6,1.9,0.316,6.2,9.2,0.676,1.8,2.6,0.706,4.8,3.9,8.7,2.1,0.7,0.4,1.2,3.1,16,taylote01
528,Garrett Temple,SG,35,NOP,59,16,1098,3.6,9.7,0.376,1.9,6.1,0.319,1.7,3.6,0.473,0.9,1.3,0.683,1,3.7,4.7,2.4,1.4,0.8,1.4,2.7,10.1,templga01
529,Emanuel Terry,PF,25,PHO,3,0,18,0,10,0,0,0,,0,10,0,0,0,,16,14,30,4,2,0,10,8,0,terryem01
530,Tyrell Terry,PG,21,MEM,2,0,3,12,12,1,0,0,,12,12,1,0,0,,0,0,0,0,0,0,0,12,24,terryty01
531,Jon Teske,C,24,MEM,3,0,8,0,4.5,0,0,0,,0,4.5,0,0,9,0,0,9,9,4.5,4.5,0,0,4.5,0,teskejo01
532,Daniel Theis,C,29,TOT,47,27,977,5.6,10.7,0.519,1.2,3.9,0.308,4.3,6.8,0.641,1.8,2.7,0.681,2.2,6.2,8.4,1.5,0.7,1.1,1.7,4.1,14.1,theisda01
532,Daniel Theis,C,29,HOU,26,21,584,5.2,11,0.469,1.4,4.9,0.291,3.8,6.2,0.61,1.7,2.5,0.675,2,6,8,1.2,0.7,1,1.9,3.8,13.4,theisda01
532,Daniel Theis,C,29,BOS,21,6,393,6.1,10.3,0.598,0.9,2.6,0.357,5.2,7.7,0.679,2,2.9,0.688,2.5,6.5,9,1.9,0.8,1.3,1.4,4.5,15.2,theisda01
533,Brodric Thomas,SG,25,BOS,12,0,60,4.8,10.8,0.444,1.2,5.4,0.222,3.6,5.4,0.667,1.8,3,0.6,1.2,4.8,6,6.6,0.6,0.6,3.6,4.2,12.6,thomabr01
534,Cam Thomas,SG,20,BRK,67,2,1176,6.7,15.4,0.433,1.4,5.3,0.27,5.2,10.1,0.52,2.7,3.2,0.829,0.5,4.4,4.9,2.4,1,0.2,1.7,2,17.4,thomaca02
535,Isaiah Thomas,PG,32,TOT,22,1,333,7.2,18.1,0.401,3,9,0.337,4.2,9.1,0.464,2.4,2.8,0.846,0.4,2.7,3.1,3.7,0.8,0.5,1.6,3.7,19.9,thomais02
535,Isaiah Thomas,PG,32,LAL,4,1,101,4.3,13.9,0.308,1.8,7.8,0.227,2.5,6.1,0.412,2.9,3.9,0.727,0.4,2.5,2.9,2.1,0,0.7,1.8,4.3,13.2,thomais02
535,Isaiah Thomas,PG,32,DAL,1,0,13,8.3,22.2,0.375,0,8.3,0,8.3,13.8,0.6,0,0,,0,0,0,11.1,0,0,0,0,16.6,thomais02
535,Isaiah Thomas,PG,32,CHO,17,0,219,8.5,19.7,0.433,3.8,9.5,0.397,4.8,10.2,0.468,2.3,2.5,0.933,0.5,3,3.5,3.9,1.2,0.5,1.6,3.6,23.2,thomais02
536,Matt Thomas,SG,27,CHI,40,0,459,4.3,10.5,0.41,2.7,7.1,0.385,1.6,3.4,0.465,1.3,1.6,0.8,0.2,3.7,3.9,1.6,0.6,0.2,0.6,1.4,12.6,thomama02
537,Klay Thompson,SG,31,GSW,32,32,941,9.4,21.9,0.429,4.4,11.3,0.385,5,10.6,0.477,1.8,2,0.902,0.6,4.2,4.8,3.4,0.6,0.7,1.6,2.1,24.9,thompkl01
538,Tristan Thompson,C,30,TOT,57,6,896,5.7,10.7,0.528,0,0.1,0.333,5.6,10.6,0.53,2.5,4.7,0.526,4.8,6.8,11.6,1.4,0.9,0.8,1.8,3.9,13.8,thomptr01
538,Tristan Thompson,C,30,SAC,30,3,455,6,11.9,0.503,0.1,0.1,1,5.9,11.9,0.5,2.5,4.7,0.533,5.7,7,12.7,1.4,0.9,0.9,2.3,4.1,14.6,thomptr01
538,Tristan Thompson,C,30,IND,4,0,66,7.1,13.1,0.542,0,0,,7.1,13.1,0.542,1.6,4.4,0.375,3.8,6,9.8,1.1,0,1.1,2.2,3.8,15.8,thomptr01
538,Tristan Thompson,C,30,CHI,23,3,376,5,8.8,0.565,0,0.2,0,5,8.6,0.578,2.5,4.6,0.542,3.9,6.5,10.4,1.3,1.1,0.7,1.1,3.7,12.4,thomptr01
